Name,OVR,Position,Alternative positions,Height,Weight,Nation,League,Team
Bjørn Inge Utvik,71,CB,,183,75,Norway,MLS,Whitecaps FC
Pavle Vagić,71,CB,CDM,188,80,Sweden,Allsvenskan,Hammarby IF
Gonzalo Valle,71,GK,,185,85,Ecuador,Libertadores,LDU Quito
Jochem van de Kamp,71,RM,"RB, CM, RW",177,72,Holland,Eredivisie,Almere City FC
Richard van der Venne,71,CM,CAM,173,75,Holland,Eredivisie,RKC Waalwijk
Daniël van Kaam,71,CDM,CM,175,71,Holland,Eredivisie,Heracles Almelo
Miguel Vargas,71,GK,,184,82,Chile,Sudamericana,Dep. Garcilaso
Gonzalo Vega,71,LM,"RM, CAM, LW",173,70,Uruguay,Sudamericana,Wanderers
Bruno Veglio,71,CM,"CDM, RM",164,61,Uruguay,Sudamericana,Wanderers
John Velásquez,71,CAM,RW,174,70,Colombia,Liga Portugal,Farense
Simão Bertelli,71,GK,,187,83,Brazil,Liga Portugal,AVS Futebol SAD
Viljar Helland Vevatne,71,CB,"LB, RB",183,73,Norway,Eliteserien,Viking FK
Wilder Viera,71,CDM,CM,180,76,Paraguay,Libertadores,Cerro Porteño
Álvaro Villete,71,GK,,188,81,Uruguay,Sudamericana,Metropolitanos
Lars Vilsvik,71,RB,,183,73,Norway,Eliteserien,Strømsgodset IF
Ben Voll,71,GK,,195,85,Germany,Bundesliga,FC St. Pauli
Ibrahima Wadji,71,ST,,175,74,Senegal,Ligue 1,AS Saint-Étienne
Jack Walton,71,GK,,184,77,England,Scottish Prem,Dundee United
Mateusz Wdowiak,71,LM,"RM, LW",174,60,Poland,PKO BP Ekstraklasa,Zagłębie Lubin
Nelson Weiper,71,ST,,191,82,Germany,Bundesliga,1. FSV Mainz 05
Oscar Wendt,71,LB,,181,82,Sweden,Allsvenskan,IFK Göteborg
Gustav Mendonca Wikheim,71,LW,LM,182,70,Norway,Allsvenskan,Djurgårdens IF
Derrick Williams,71,CB,,180,75,Republic of Ireland,MLS,Atlanta United
Bobby Wood,71,ST,,180,79,United States,MLS,New England
Scott Wootton,71,CB,,188,78,England,A-League,Well. Phoenix
Malick Yalcouyé,71,CM,,171,69,Mali,Premier League,Brighton
William Yarbrough,71,GK,,188,75,United States,MLS,SJ Earthquakes
Patrick Yazbek,71,CDM,CM,183,69,Australia,MLS,Nashville SC
Dru Yearwood,71,CM,CDM,173,68,England,MLS,Nashville SC
Erdoğan Yeşilyurt,71,RM,"LM, RB, RW",175,72,Turkey,Trendyol Süper Lig,Antalyaspor
Bertuğ Yıldırım,71,ST,,186,78,Turkey,LaLiga,Getafe CF
Yoon Jong Gyu,71,RB,RM,173,65,Korea Republic,K League 1,FC Seoul
Kyohei Yoshino,71,CDM,"CM, CB",182,75,Japan,K League 1,Daegu FC
Jamie Young,71,GK,,180,83,England,A-League,Melbourne City
Yun Il Lok,71,RB,"LM, ST",178,65,Korea Republic,K League 1,Ulsan Hyundai
Yun Suk Young,71,LB,CB,182,74,Korea Republic,K League 1,Gangwon FC
Cristian Zabala,71,CM,"CDM, RM",187,77,Argentina,Libertadores,IDV
Vasilis Zagaritis,71,LB,LM,178,68,Greece,Eredivisie,Almere City FC
Nicolás Zalazar,71,CB,,179,77,Argentina,Libertadores,Junior
Jan Žambůrek,71,CM,RM,182,73,Czech Republic,Eredivisie,Heracles Almelo
Edgar Zaracho,71,CM,CDM,179,75,Paraguay,Sudamericana,S. Ameliano
Milen Zhelev,71,RB,LB,180,78,Bulgaria,SUPERLIGA,SC Oțelul Galați
Ervin Zorrilla,71,ST,LM,178,67,Panama,Sudamericana,Metropolitanos
Dario Župarić,71,CB,,185,84,Croatia,MLS,Portland Timbers
Aly Abeid,70,LB,,174,70,Mauritania,SUPERLIGA,CFR 1907 Cluj
Paulos Abraham,70,LM,"ST, LW",176,69,Sweden,Allsvenskan,IFK Göteborg
Miguel Acosta,70,GK,,189,80,Argentina,Sudamericana,Argentinos Jrs.
Jayden Addai,70,RW,RM,175,73,Holland,Eredivisie,AZ
Michel Ndary Adopo,70,CM,CDM,187,84,France,Serie A,Cagliari
Brandon Aguilera,70,CAM,CM,168,65,Costa Rica,Liga Portugal,Rio Ave FC
Patrick Agyemang,70,ST,,193,81,Ghana,MLS,Charlotte FC
Erik Ahlstrand,70,RM,"ST, RW",182,75,Sweden,Bundesliga,FC St. Pauli
Clément Akpa,70,LB,,183,68,Côte d'Ivoire,Ligue 1,AJ Auxerre
Aksel Aktaş,70,CAM,"CM, RM",177,70,Turkey,Trendyol Süper Lig,Adana Demirspor
Hamdi Akujobi,70,RB,RM,175,70,Nigeria,Eredivisie,Almere City FC
Amir Al-Ammari,70,CM,,184,70,Iraq,PKO BP Ekstraklasa,Cracovia
Agustín Alaniz,70,RW,"RM, ST",182,78,Uruguay,Sudamericana,Racing Club
Adrián Alcaraz,70,ST,,181,76,Paraguay,Sudamericana,Guaraní
Ibrahim Alhassan,70,CDM,CM,192,76,Nigeria,Liga Portugal,Boavista FC
Kevin Amaro,70,RB,,179,72,Uruguay,Libertadores,Liverpool
Isak Helstad Amundsen,70,CB,,190,82,Norway,Eliteserien,Molde FK
Hugo Ancajima,70,RB,,178,79,Peru,Libertadores,Universitario
Kent-Are Antonsen,70,CM,"CB, LM",172,70,Norway,Eliteserien,Tromsø IL
Marcus Antonsson,70,ST,,184,80,Sweden,A-League,WS Wanderers
Apostolos Apostolopoulos,70,LB,,175,67,Greece,Hellas Liga,Olympiacos FC
Miguel Araujo,70,CB,,180,71,Peru,MLS,Portland Timbers
Jefferson Arce,70,CAM,"LM, RM",175,65,Ecuador,Libertadores,Barcelona SC
Allan Arigoni,70,RB,CB,184,80,Switzerland,MLS,Chicago Fire FC
Mijaíl Avilés,70,CM,CDM,180,80,Venezuela,Sudamericana,Real Tomayapo
Jonah Ayunga,70,ST,,185,78,Kenya,Scottish Prem,St. Mirren
Pedro Azogue,70,CDM,CM,177,71,Bolivia,Sudamericana,Nacional Potosí
Adriel Ba Loua,70,RM,"LM, RW",170,75,Côte d'Ivoire,PKO BP Ekstraklasa,Lech Poznań
David Babunski,70,CM,"CAM, LW",178,72,North Macedonia,Scottish Prem,Dundee United
Mio Backhaus,70,GK,,194,82,Germany,Bundesliga,SV Werder Bremen
Nikolai Baden Frederiksen,70,ST,CAM,179,68,Denmark,Allsvenskan,IFK Göteborg
Dominique Badji,70,ST,RM,183,79,Senegal,MLS,D.C. United
Baek Jong Beom,70,GK,,190,85,Korea Republic,K League 1,FC Seoul
Francisco Báez,70,CB,,184,80,Paraguay,Sudamericana,S. Ameliano
Óscar Baldomar,70,RB,CB,179,68,Bolivia,Sudamericana,Nacional Potosí
Yusuf Barası,70,ST,LW,182,72,Turkey,Trendyol Süper Lig,Adana Demirspor
Furkan Bayır,70,CB,,188,80,Turkey,Trendyol Süper Lig,Alanyaspor
Filip Bednarek,70,GK,,188,81,Poland,PKO BP Ekstraklasa,Lech Poznań
Florin Bejan,70,CB,,187,84,Romania,SUPERLIGA,FC Hermannstadt
Reda Belahyane,70,CDM,CM,169,53,France,Serie A,Hellas Verona
Mohammed Ali Bemammer,70,CDM,CM,184,78,Morocco,ISL,NorthEast United
Salim Ben Seghir,70,LM,LW,174,57,France,Ligue 1,OM
Darío,70,RB,CB,178,72,Spain,LaLiga,Sevilla FC
César Benítez,70,CB,RB,177,75,Paraguay,Sudamericana,S. Trinidense
Edgar Benítez,70,LW,LM,176,74,Paraguay,Sudamericana,UCV
Hugo Benítez,70,CB,,178,87,Paraguay,Sudamericana,Olimpia
Léider Berdugo,70,CM,CDM,176,69,Colombia,Libertadores,Junior
Jo Inge Berget,70,ST,"RM, LM",186,81,Norway,Eliteserien,Sarpsborg 08
Fernando Bersano,70,LB,,168,68,Argentina,Sudamericana,ADT
Vicente Besuijen,70,CAM,RM,169,62,Holland,Scottish Prem,Aberdeen
Adel Bettaieb,70,ST,LW,184,78,Tunisia,SUPERLIGA,FC Univ. Cluj
Ömer Beyaz,70,CAM,"CM, RM",171,65,Turkey,Trendyol Süper Lig,Başakşehir
David Bingham,70,GK,,188,86,United States,MLS,Charlotte FC
Bjarki Steinn Bjarkason,70,RM,"CM, RW",180,68,Iceland,Serie A,Venezia
Brynjar Ingi Bjarnason,70,CB,,194,88,Iceland,Eliteserien,HamKam Fotball
Cristian Blanco,70,LB,,167,68,Colombia,Sudamericana,Alianza FC
Thijmen Blokzijl,70,CB,,191,75,Holland,Eredivisie,FC Groningen
Ole Didrik Blomberg,70,RW,"LW, RB, RM",177,71,Norway,Eliteserien,SK Brann
Emmanuel Boateng,70,CM,,174,66,Ghana,Trendyol Süper Lig,Konyaspor
Radu Boboc,70,RB,"LB, RM",174,67,Romania,SUPERLIGA,FC Univ. Cluj
Ștefan Bodișteanu,70,LW,"CAM, LM",180,70,Romania,SUPERLIGA,FC Botoșani
Kévin Boma,70,CB,,187,73,Togo,Liga Portugal,Estoril Praia
Alex Bono,70,GK,,191,95,United States,MLS,D.C. United
Rivaldinho,70,ST,,186,85,Brazil,SUPERLIGA,Farul Constanța
Mihai Bordeianu,70,CDM,"CM, RB",175,73,Romania,SUPERLIGA,Politehnica Iași
Léo Borges,70,LB,CB,179,74,Brazil,PKO BP Ekstraklasa,Pogoń Szczecin
Dylan Borrero,70,LM,"CAM, RM, LW",179,67,Colombia,MLS,New England
Torgeir Børven,70,ST,,187,72,Norway,Eliteserien,Odds BK
Jesse Bosch,70,CM,CAM,176,76,Holland,Eredivisie,Willem II
Iker Bravo,70,ST,"LW, RW",184,79,Spain,Serie A,Udinese
Samuel Brolin,70,GK,,202,85,Sweden,Allsvenskan,Kalmar FF
Jesús Bueno,70,CDM,CM,178,74,Venezuela,MLS,Philadelphia
Manu Bueno,70,CM,"CAM, CDM",178,73,Spain,LaLiga,Sevilla FC
Max Burgess,70,CAM,LM,185,70,Australia,A-League,Sydney FC
Alexandru Buzbuchi,70,GK,,190,84,Romania,SUPERLIGA,Farul Constanța
Vitor Gabriel,70,ST,,187,76,Brazil,K League 1,Gangwon FC
Walter Cabrera,70,CB,RB,183,79,Paraguay,Sudamericana,S. Ameliano
Bruno Cabrera,70,CB,,178,75,Paraguay,Sudamericana,Coquimbo Unido
Aaron Calver,70,CB,RB,186,76,Australia,K League 1,Daejeon
Pablo Camacho,70,RB,CB,177,81,Venezuela,Libertadores,Dep. Táchira
Lyall Cameron,70,CM,"CAM, RM",180,74,Scotland,Scottish Prem,Dundee FC
Josh Campbell,70,CAM,CM,182,72,Scotland,Scottish Prem,Hibernian
Àlex Carbonell,70,CM,CDM,182,76,Spain,Eredivisie,Almere City FC
Rafael Santos,70,LB,,180,73,Brazil,MLS,Orlando City
Rudy Cardozo,70,CM,"CAM, LM",171,70,Bolivia,Sudamericana,Wilstermann
Adam Carlén,70,CDM,CM,193,85,Sweden,Allsvenskan,IFK Göteborg
Trevor Carson,70,GK,,185,80,Northern Ireland,Scottish Prem,Dundee FC
Marc Casadó,70,CDM,"CM, RB",172,66,Spain,LaLiga,FC Barcelona
Niklas Castro,70,LW,LM,173,72,Chile,Eliteserien,SK Brann
Matias Cavalleri,70,RW,"RM, LW",168,63,Chile,Sudamericana,Unión La Calera
Víctor Cedrón,70,CAM,LW,172,68,Peru,Sudamericana,ADT
Sava-Arangel Čestić,70,CB,,192,87,Serbia,Eredivisie,Heracles Almelo
Wálter Chalá,70,RM,"RW, LM",184,72,Ecuador,Sudamericana,Dep. Cuenca
Joseph Champness,70,LW,LM,189,80,New Zealand,A-League,Auckland FC
Maikel Chang,70,RM,"LM, RW",178,79,Cuba,MLS,Real Salt Lake
Pablo Chavarría,70,ST,RM,186,83,Argentina,Sudamericana,Belgrano
Martín Chiatti,70,CB,,196,81,Argentina,Sudamericana,Wilstermann
Mattia Chiesa,70,GK,,190,82,Italy,Serie A,Hellas Verona
Choi Kyu Baek,70,CB,RB,188,80,Korea Republic,K League 1,Suwon FC
Michał Chrapek,70,CAM,CDM,177,74,Poland,PKO BP Ekstraklasa,Piast Gliwice
Mateusz Cichocki,70,CB,,187,79,Poland,PKO BP Ekstraklasa,Radomiak Radom
Alexandru Cîmpanu,70,RM,"RW, CAM",178,67,Romania,SUPERLIGA,UTA Arad
Caden Clark,70,CAM,"CM, LM",180,68,United States,MLS,CF Montréal
Alexandre Coeff,70,RB,CB,185,71,France,ISL,Kerala Blasters
Collado,70,ST,RM,183,71,Spain,Liga Portugal,Gil Vicente
Gabriel Compagnucci,70,RB,CB,178,73,Argentina,Sudamericana,Belgrano
Anderson Contreras,70,CM,"CAM, CDM",177,64,Venezuela,Libertadores,Caracas FC
Tommaso Corazza,70,LB,"LM, RB",174,72,Italy,Serie A,Bologna
Juan Cornejo,70,CB,LB,175,81,Chile,Sudamericana,Coquimbo Unido
Miguel Cornejo,70,CAM,CM,167,62,Peru,Sudamericana,Dep. Garcilaso
Valentin Costache,70,RM,"LM, ST, RW",178,71,Romania,SUPERLIGA,UTA Arad
Cristian Costin,70,RB,RM,177,73,Romania,SUPERLIGA,FC Dinamo 1948
Matthew Cox,70,GK,,182,74,England,Premier League,Brentford
Valentin Crețu,70,RB,,176,71,Romania,SUPERLIGA,FCSB
Svenn Crone,70,RB,,182,76,Denmark,Eliteserien,SK Brann
Héctor Cuellar,70,CM,"CDM, RB",180,74,Bolivia,Sudamericana,Always Ready
Pedro Moreira,70,CM,CDM,182,76,Portugal,Liga Portugal,Arouca
Fredrik K. Dahl,70,CB,,185,77,Norway,Eliteserien,Strømsgodset IF
Pontus Dahlberg,70,GK,,194,86,Sweden,Allsvenskan,IFK Göteborg
Leon Dajaku,70,RM,"CAM, LW, RW",180,75,Germany,Liga Hrvatska,Hajduk Split
Dalmau,70,ST,,182,70,Spain,PKO BP Ekstraklasa,Korona Kielce
Bence Dárdai,70,CAM,CM,189,71,Germany,Bundesliga,VfL Wolfsburg
Kevin De La Hoz,70,RB,CB,172,70,Venezuela,Sudamericana,Metropolitanos
Luís Phelipe,70,LW,"RW, CAM, LM",187,75,Brazil,SUPERLIGA,FCSB
Robbie Deas,70,CB,LB,188,75,Scotland,Scottish Prem,Kilmarnock
Carlos Delgado,70,CB,,185,76,Spain,ISL,Odisha FC
Alfie Devine,70,CAM,CM,180,75,England,Premier League,Tottenham Hotspur
Sory Ibrahim Diarra,70,ST,,187,80,Mali,Eliteserien,FK Haugesund
Vagner,70,ST,LM,168,67,Cape Verde Islands,PKO BP Ekstraklasa,Radomiak Radom
Justin Diehl,70,LM,"ST, LW",174,67,Germany,Bundesliga,VfB Stuttgart
Christos Donis,70,CDM,,185,74,Greece,PKO BP Ekstraklasa,Radomiak Radom
Nick Doodeman,70,RW,RM,173,62,Holland,Eredivisie,Willem II
Robson,70,CB,RB,178,71,Brazil,Sudamericana,Wilstermann
Diogo Calila,70,RB,LB,180,76,Portugal,Liga Portugal,Santa Clara
Micael,70,CB,,191,82,Brazil,MLS,Houston Dynamo
Issiar Dramé,70,CB,,197,80,Mali,Liga Portugal,Estrela Amadora
Michael Duffy,70,LM,LW,179,75,Republic of Ireland,SSE Airtricity PD,Derry City
Daniel Edelman,70,CDM,CM,178,64,United States,MLS,Red Bulls
Malcom Edjouma,70,CM,CDM,191,88,Morocco,SUPERLIGA,FCSB
Daniel Eid,70,RB,,183,73,Norway,Eliteserien,Fredrikstad FK
Noah Eile,70,CB,,195,83,Sweden,MLS,Red Bulls
Anouar El Azzouzi,70,CDM,,187,75,Morocco,Eredivisie,PEC Zwolle
Agon Elezi,70,CDM,"RM, CM",181,71,North Macedonia,Bundesliga,VfL Bochum 1848
Mikael Egill Ellertsson,70,CM,"LM, RM",182,74,Iceland,Serie A,Venezia
Mario Engels,70,ST,"LM, RM",184,74,Germany,Eredivisie,Heracles Almelo
Mads Enggård,70,CM,,179,67,Denmark,Eliteserien,Molde FK
Jusef Erabi,70,ST,,183,84,Sweden,Allsvenskan,Hammarby IF
Victor Eriksson,70,CB,,192,82,Sweden,Allsvenskan,Hammarby IF
Ertuğrul Ersoy,70,CB,,187,82,Turkey,Trendyol Süper Lig,Gaziantep
Tiri,70,CB,LB,186,84,Spain,ISL,Mumbai City FC
Santiago Etchebarne,70,CB,,178,83,Uruguay,Sudamericana,Danubio
Omar Faraj,70,ST,CAM,182,77,Palestine,Allsvenskan,AIK
Neil Farrugia,70,RM,"LB, RW",187,83,Republic of Ireland,SSE Airtricity PD,Shamrock Rovers
Maryan Faryna,70,CB,LB,180,78,Ukraine,Ukrayina Liha,Shakhtar Donetsk
Gianlucca Fatecha,70,CAM,CM,174,65,Paraguay,Sudamericana,Cerro Largo
Juan Ibiza,70,CB,,187,78,Spain,PKO BP Ekstraklasa,Widzew Łódź
Luis Fernández,70,CAM,ST,175,72,Spain,PKO BP Ekstraklasa,Lechia Gdańsk
João Valido,70,GK,,185,77,Portugal,Liga Portugal,Arouca
Ivan Filipović,70,GK,,197,92,Croatia,Liga Hrvatska,Dinamo Zagreb
Ethan Finlay,70,RM,"LM, RW",175,73,United States,MLS,Austin FC
Alberto Flores,70,GK,,186,80,Spain,LaLiga,Sevilla FC
Sadik Fofana,70,CB,CDM,192,78,Germany,Bundesliga,Bayer Leverkusen
Ben Folami,70,LW,"RW, ST, LM",180,80,Australia,A-League,Melb. Victory
Omari Forson,70,RM,"CAM, RW",179,67,England,Serie A,Monza
Héctor Fort,70,RB,CB,185,78,Spain,LaLiga,FC Barcelona
Fortuño,70,GK,,183,77,Spain,LaLiga,RCD Espanyol
Matías Fracchia,70,CB,LB,188,84,Uruguay,Sudamericana,Danubio
Marcus Fraser,70,CB,,182,70,Scotland,Scottish Prem,St. Mirren
Ulrik Fredriksen,70,CB,RB,189,89,Norway,Eliteserien,FK Haugesund
Macklin Freke,70,GK,,193,76,Australia,A-League,Brisbane Roar
Juan Freytes,70,CB,"LB, LM",182,82,Argentina,Libertadores,Alianza Lima
Per Frick,70,ST,,182,81,Sweden,Allsvenskan,IF Elfsborg
Ludvig Fritzson,70,CM,,184,77,Sweden,Allsvenskan,Brommapojkarna
Borja Galán,70,LM,"RM, LW",182,76,Spain,PKO BP Ekstraklasa,GKS Katowice
Sebastián Galani,70,CDM,CM,179,75,Chile,Sudamericana,Coquimbo Unido
Declan Gallagher,70,CB,,196,93,Scotland,Scottish Prem,Dundee United
Valerică Găman,70,CB,,191,83,Romania,SUPERLIGA,FC Hermannstadt
Gustavo Garcia,70,RB,,175,67,Brazil,Liga Portugal,Nacional
Gonzalo,70,LM,"ST, LW",182,82,Spain,LaLiga,Real Madrid
Max Geschwill,70,CB,,182,70,Germany,Bundesliga,Holstein Kiel
Valentin Gheorghe,70,LM,"RM, LW",175,65,Romania,SUPERLIGA,Politehnica Iași
Alaa Ghram,70,CB,,190,81,Tunisia,Ukrayina Liha,Shakhtar Donetsk
Mark Gillespie,70,GK,,192,83,England,Premier League,Newcastle United
Arnaldo Giménez,70,GK,,195,80,Paraguay,Sudamericana,Wilstermann
Diago Giménez,70,CB,"CDM, LB",175,72,Argentina,Sudamericana,Universitario
Gvidas Gineitis,70,CM,CDM,191,75,Lithuania,Serie A,Torino
Robert Gojani,70,CM,CDM,174,71,Sweden,Allsvenskan,Kalmar FF
Miguel Silva,70,LB,,191,75,Portugal,SUPERLIGA,SC Oțelul Galați
Maximiliano González,70,CDM,CM,178,73,Argentina,Sudamericana,Defensa
Facundo González,70,CB,,193,83,Uruguay,Serie A,Juventus
Alfon,70,RM,"LM, ST, RW",172,63,Spain,LaLiga,RC Celta
Daniel Graovac,70,CB,,185,73,Bosnia and Herzegovina,SUPERLIGA,CFR 1907 Cluj
Tayvon Gray,70,RB,CB,180,74,Jamaica,MLS,New York City FC
Alexandru Greab,70,GK,,198,90,Romania,SUPERLIGA,FC Gloria Buzău
Darijo Grujčić,70,CB,,188,85,Austria,Eredivisie,Fortuna Sittard
John Guidetti,70,ST,,185,80,Sweden,Allsvenskan,AIK
Gökhan Gül,70,CDM,,180,78,Turkey,Trendyol Süper Lig,Kasımpaşa
Daniel Gutiérrez,70,CB,LB,180,75,Chile,Libertadores,Colo-Colo
Maximiliano Gutiérrez,70,RB,"RM, RW",183,80,Chile,Libertadores,Huachipato
Samuel Guzmán,70,LB,,173,70,Bolivia,Sudamericana,Universitario
Steffen Hagen,70,CB,,185,80,Norway,Eliteserien,Odds BK
Stefan Hajdin,70,LB,LM,188,80,Serbia,SUPERLIGA,Sepsi OSK
Daniel Hall,70,CB,RB,184,80,Australia,A-League,Auckland FC
Melker Hallberg,70,CM,,180,68,Sweden,Allsvenskan,Kalmar FF
Andy Halliday,70,CM,"CDM, LB",173,67,Scotland,Scottish Prem,Motherwell
Aapo Halme,70,CB,CDM,196,78,Finland,Finnliiga,HJK Helsinki
Brendan Hamill,70,CB,,185,79,Australia,A-League,Melb. Victory
Sergiu Hanca,70,RM,"RB, RW",182,80,Romania,SUPERLIGA,FC Petrolul
Kornelius N. Hansen,70,ST,"RM, LM",175,70,Norway,Eredivisie,Almere City FC
Ian Harkes,70,CM,,180,73,United States,MLS,New England
Denis Haruț,70,CB,"RB, CDM",183,77,Romania,SUPERLIGA,FCSB
Henrik Heggheim,70,CB,,189,77,Norway,Eliteserien,Viking FK
Thiago Helguera,70,CDM,CM,179,70,Uruguay,Liga Portugal,SC Braga
Robert Hernández,70,LM,LW,174,68,Venezuela,Sudamericana,Carabobo FC
Borja Herrera,70,CAM,"LB, CM",176,70,Spain,ISL,FC Goa
Koki Hinokio,70,CAM,,165,60,Japan,PKO BP Ekstraklasa,Stal Mielec
Noah Jean Holm,70,ST,,186,87,Norway,Eliteserien,Rosenborg BK
Hong Jung Un,70,CB,,187,76,Korea Republic,K League 1,Daejeon
Arttu Hoskonen,70,CB,,188,90,Finland,PKO BP Ekstraklasa,Cracovia
Diego Hoyos,70,CM,"CDM, LM",172,69,Bolivia,Sudamericana,Nacional Potosí
Ronal Huaccha,70,ST,RW,172,71,Peru,Sudamericana,Sport Huancayo
Johannes Andres Hummelvoll-Nuñez,70,ST,,182,76,Norway,Eliteserien,KFUM-Kameratene
Abbas Hüseynov,70,RB,,179,76,Azerbaijan,Liga Azerbaijan,Qarabağ FK
Rommell Ibarra,70,CDM,"CM, RB",177,70,Venezuela,Sudamericana,Dep. La Guaira
Sebastien Ibeagha,70,CB,,188,85,United States,MLS,FC Dallas
Christopher Ikonomidis,70,RM,"LM, ST, RW",180,80,Australia,A-League,Macarthur FC
Matei Ilie,70,CB,,191,77,Romania,SUPERLIGA,CFR 1907 Cluj
Mikael Norø Ingebrigtsen,70,RM,"ST, RW",170,68,Norway,Eliteserien,Odds BK
Daleho Irandust,70,CAM,"RM, CM",185,73,Syria,Allsvenskan,Brommapojkarna
Masatoshi Ishida,70,CM,"CAM, ST",180,68,Japan,K League 1,Daejeon
Rareș Ispas,70,LB,,178,70,Romania,SUPERLIGA,Politehnica Iași
Lachlan Jackson,70,CB,,196,90,Australia,K League 1,Suwon FC
Joey Jacobs,70,CB,RB,187,79,Holland,Eredivisie,Almere City FC
Adam Jakobsen,70,ST,LM,185,81,Denmark,Allsvenskan,Brommapojkarna
Alvis Jaunzems,70,RB,RM,179,76,Latvia,PKO BP Ekstraklasa,Stal Mielec
Arkadiusz Jędrych,70,CB,,187,84,Poland,PKO BP Ekstraklasa,GKS Katowice
Alexander Jensen,70,RB,,180,78,Denmark,Allsvenskan,Brommapojkarna
Patrick Joosten,70,LW,"RW, LM",176,72,Holland,Eredivisie,Willem II
Wilmar Jordán,70,ST,"LW, RW",183,87,Colombia,ISL,Chennaiyin FC
Aleksandar Jovanović,70,CB,,196,83,Australia,ISL,Bengaluru FC
Rami Kaib,70,LB,,178,63,Tunisia,Allsvenskan,IF Elfsborg
Jakub Kałuziński,70,CDM,"CM, CAM",184,74,Poland,Trendyol Süper Lig,Antalyaspor
Willy Kambwala,70,CB,RB,192,77,France,LaLiga,Villarreal CF
Kubilay Kanatsızkuş,70,ST,,190,79,Turkey,Trendyol Süper Lig,Göztepe
Kang Yoon Seong,70,RB,LB,172,65,Korea Republic,K League 1,Daejeon
Alec Kann,70,GK,,193,86,United States,MLS,FC Cincinnati
Rifet Kapić,70,CM,"CAM, RM",179,74,Bosnia and Herzegovina,PKO BP Ekstraklasa,Lechia Gdańsk
Ákos Kecskés,70,CB,,190,75,Hungary,SUPERLIGA,Sepsi OSK
Manuel Keliano,70,CDM,,185,78,Angola,Liga Portugal,Estrela Amadora
Kevin Kelsy,70,ST,,193,83,Venezuela,MLS,FC Cincinnati
David Keltjens,70,RB,RM,181,76,Israel,Scottish Prem,St. Johnstone
Boy Kemper,70,LB,CB,185,73,Holland,Eredivisie,NAC Breda
Nohan Kenneh,70,CDM,CM,190,79,Liberia,Scottish Prem,Hibernian
Topi Keskinen,70,LW,"RW, RM, LM",180,72,Finland,Scottish Prem,Aberdeen
Kim Jin Ho,70,LB,LM,178,74,Korea Republic,K League 1,GwangJu FC
Kim Jeong Hoon,70,GK,,188,80,Korea Republic,K League 1,Jeonbuk Hyundai
Kim Tae Hwan,70,RB,,177,72,Korea Republic,K League 1,Jeonbuk Hyundai
Kim Dong Heon,70,GK,,186,87,Korea Republic,K League 1,Gimcheon Sangmu
Yann Kitala,70,ST,,186,83,France,Ligue 1,Havre AC
Gustavo Klismahn,70,CM,"LM, CDM",180,80,Brazil,Liga Portugal,Santa Clara
Karol Knap,70,CM,,180,71,Poland,PKO BP Ekstraklasa,Cracovia
Erling Knudtzon,70,RB,,178,70,Norway,Eliteserien,Lillestrøm SK
Amadou Koné,70,CDM,CM,185,75,Côte d'Ivoire,Ligue 1,Stade de Reims
Luuk Koopmans,70,GK,,190,83,Holland,Eredivisie,Fortuna Sittard
Kacper Kostorz,70,ST,RM,191,78,Poland,Eredivisie,NAC Breda
Giorgos Koutsias,70,ST,"RW, LW",178,66,Greece,MLS,Chicago Fire FC
Blaž Kramer,70,ST,,191,87,Slovenia,PKO BP Ekstraklasa,Legia Warszawa
Kevin Martin Krygård,70,CDM,"CB, CM",184,70,Norway,Eliteserien,Lillestrøm SK
Dinis Pinto,70,RB,,178,73,Portugal,Liga Portugal,Moreirense FC
Rémy Labeau Lascary,70,RM,"ST, RW",184,72,France,Ligue 1,RC Lens
André Ricardo,70,CAM,,178,69,Portugal,Hellas Liga,PAOK FC
Ariel Lassiter,70,LM,"RM, ST, LW",178,70,Costa Rica,MLS,Chicago Fire FC
Luke Le Roux,70,CDM,CM,180,70,South Africa,Allsvenskan,IFK Värnamo
Heber Leaños,70,LB,"LM, RB",175,70,Bolivia,Sudamericana,Nacional Potosí
Lee Jin Yong,70,CM,CDM,180,73,Korea Republic,K League 1,Gimcheon Sangmu
Lee Min Gi,70,LB,LM,175,71,Korea Republic,K League 1,GwangJu FC
Lee Hyun Sik,70,RM,"RB, CM, RW",175,64,Korea Republic,K League 1,Gimcheon Sangmu
Lee Yong Rae,70,CM,CDM,175,71,Korea Republic,K League 1,Daegu FC
Geoffrey Lembet,70,GK,,186,80,Central African Republic,Ligue 1,Stade Rennais FC
Dexter Lembikisa,70,RB,RM,180,68,Jamaica,Premier League,Wolves
Mats Lemmens,70,RB,CB,186,81,Belgium,Serie A,Lecce
Jonathan Lewis,70,ST,LM,170,68,United States,MLS,Colorado Rapids
Danny Leyva,70,CM,CDM,178,64,United States,MLS,Sounders FC
Otso Liimatta,70,CAM,,169,63,Finland,Liga Portugal,FC Famalicão
Lim Jong Eun,70,CB,,192,88,Korea Republic,K League 1,Ulsan Hyundai
Daniel Lino,70,LB,CB,176,72,Bolivia,Libertadores,The Strongest
Rodrigo Llano,70,ST,,184,79,Colombia,Sudamericana,Universitario
Sebastian Lletget,70,CM,RM,178,69,United States,MLS,FC Dallas
Francesco Lo Celso,70,LM,"CM, CAM, LW",176,73,Argentina,Libertadores,Rosario Central
